 -84.33 -178.00 3
 -84.50 -174.00 2
 -84.67 -170.00 2
 -84.92 -166.00 2
 -85.42 -163.00 2
 -85.42 -158.00 2
 -85.58 -152.00 2
 -85.33 -146.00 2
 -84.83 -147.00 2
 -84.50 -151.00 2
 -84.00 -153.50 2
 -83.50 -153.00 2
 -83.00 -154.00 2
 -82.50 -154.00 2
 -82.00 -154.00 2
 -81.50 -154.50 2
 -81.17 -153.00 2
 -81.00 -150.00 2
 -80.92 -146.50 2
 -80.67 -145.50 2
 -80.33 -148.00 2
 -80.00 -150.00 2
 -79.67 -152.50 2
 -79.25 -155.00 2
 -78.83 -157.00 2
 -78.50 -158.00 2
 -78.42 -156.70 2
 -78.50 -154.50 2
 -78.17 -154.50 2
 -78.08 -156.70 2
 -77.83 -158.00 2
 -77.50 -158.30 2
 -77.17 -158.70 2
 -77.00 -157.00 2
 -77.17 -154.00 2
 -77.58 -153.00 2
 -77.83 -150.50 2
 -77.67 -148.00 2
 -77.25 -146.00 2
 -76.75 -146.00 2
 -76.33 -146.30 2
 -75.92 -146.70 2
 -75.83 -144.00 2
 -75.58 -142.00 2
 -75.75 -140.70 2
 -75.42 -140.00 2
 -75.25 -138.30 2
 -75.00 -136.70 2
 -74.75 -135.50 2
 -74.75 -133.00 2
 -75.00 -132.00 2
 -75.42 -130.80 2
 -75.75 -129.70 2
 -76.00 -128.00 2
 -76.00 -127.00 2
 -75.67 -126.80 2
 -75.17 -126.30 2
 -74.67 -125.50 2
 -74.33 -124.50 2
 -73.83 -123.30 2
 -73.25 -123.70 2
 -73.25 -122.30 2
 -73.75 -121.30 2
 -74.00 -120.00 2
 -73.58 -120.00 2
 -73.67 -118.30 2
 -73.67 -116.70 2
 -73.83 -116.30 2
 -74.17 -117.70 2
 -74.67 -117.70 2
 -75.17 -116.30 2
 -75.25 -113.70 2
 -75.00 -112.30 2
 -74.50 -112.50 2
 -74.00 -112.70 2
 -73.67 -112.00 2
 -74.00 -111.50 2
 -74.50 -111.00 2
 -75.00 -110.30 2
 -75.17 -108.70 2
 -74.67 -108.50 2
 -74.50 -109.50 2
 -74.00 -109.50 2
 -74.00 -108.30 2
 -74.33 -108.00 2
 -74.67 -108.50 2
 -75.08 -107.50 2
 -75.08 -106.00 2
 -74.92 -104.50 2
 -74.58 -104.50 2
 -74.58 -102.70 2
 -74.75 -101.30 2
 -75.00 -100.00 2
 -74.75  -99.50 2
 -74.33 -101.30 2
 -74.00 -100.70 2
 -73.75 -101.50 2
 -73.50 -101.50 2
 -73.58 -100.00 2
 -73.42  -99.00 2
 -73.08 -100.00 2
 -73.25 -101.30 2
 -72.75 -102.50 2
 -72.67 -101.30 2
 -73.00 -101.50 2
 -72.92  -99.67 2
 -73.33  -98.50 2
 -73.08  -98.00 2
 -73.42  -97.50 2
 -73.75  -97.50 2
 -73.75  -96.33 2
 -73.42  -96.00 2
 -73.08  -96.00 2
 -72.92  -97.50 2
 -72.50  -98.50 2
 -72.17  -99.67 2
 -71.92 -101.00 2
 -71.75  -99.83 2
 -72.00  -98.33 2
