 -84.33  182.00 3
 -84.50  186.00 2
 -84.67  190.00 2
 -84.92  194.00 2
 -85.42  197.00 2
 -85.42  202.00 2
 -85.58  208.00 2
 -85.33  214.00 2
 -84.83  213.00 2
 -84.50  209.00 2
 -84.00  206.50 2
 -83.50  207.00 2
 -83.00  206.00 2
 -82.50  206.00 2
 -82.00  206.00 2
 -81.50  205.50 2
 -81.17  207.00 2
 -81.00  210.00 2
 -80.92  213.50 2
 -80.67  214.50 2
 -80.33  212.00 2
 -80.00  210.00 2
 -79.67  207.50 2
 -79.25  205.00 2
 -78.83  203.00 2
 -78.50  202.00 2
 -78.42  203.30 2
 -78.50  205.50 2
 -78.17  205.50 2
 -78.08  203.30 2
 -77.83  202.00 2
 -77.50  201.70 2
 -77.17  201.30 2
 -77.00  203.00 2
 -77.17  206.00 2
 -77.58  207.00 2
 -77.83  209.50 2
 -77.67  212.00 2
 -77.25  214.00 2
 -76.75  214.00 2
 -76.33  213.70 2
 -75.92  213.30 2
 -75.83  216.00 2
 -75.58  218.00 2
 -75.75  219.30 2
 -75.42  220.00 2
 -75.25  221.70 2
 -75.00  223.30 2
 -74.75  224.50 2
 -74.75  227.00 2
 -75.00  228.00 2
 -75.42  229.20 2
 -75.75  230.30 2
 -76.00  232.00 2
 -76.00  233.00 2
 -75.67  233.20 2
 -75.17  233.70 2
 -74.67  234.50 2
 -74.33  235.50 2
 -73.83  236.70 2
 -73.25  236.30 2
 -73.25  237.70 2
 -73.75  238.70 2
 -74.00  240.00 2
 -73.58  240.00 2
 -73.67  241.70 2
 -73.67  243.30 2
 -73.83  243.70 2
 -74.17  242.30 2
 -74.67  242.30 2
 -75.17  243.70 2
 -75.25  246.30 2
 -75.00  247.70 2
 -74.50  247.50 2
 -74.00  247.30 2
 -73.67  248.00 2
 -74.00  248.50 2
 -74.50  249.00 2
 -75.00  249.70 2
 -75.17  251.30 2
 -74.67  251.50 2
 -74.50  250.50 2
 -74.00  250.50 2
 -74.00  251.70 2
 -74.33  252.00 2
 -74.67  251.50 2
 -75.08  252.50 2
 -75.08  254.00 2
 -74.92  255.50 2
 -74.58  255.50 2
 -74.58  257.30 2
 -74.75  258.70 2
 -75.00  260.00 2
 -74.75  260.50 2
 -74.33  258.70 2
 -74.00  259.30 2
 -73.75  258.50 2
 -73.50  258.50 2
 -73.58  260.00 2
 -73.42  261.00 2
 -73.08  260.00 2
 -73.25  258.70 2
 -72.75  257.50 2
 -72.67  258.70 2
 -73.00  258.50 2
 -72.92  260.33 2
 -73.33  261.50 2
 -73.08  262.00 2
 -73.42  262.50 2
 -73.75  262.50 2
 -73.75  263.67 2
 -73.42  264.00 2
 -73.08  264.00 2
 -72.92  262.50 2
 -72.50  261.50 2
 -72.17  260.33 2
 -71.92  259.00 2
 -71.75  260.17 2
 -72.00  261.67 2
 -71.83  263.00 2
 -72.08  264.33 2
 -72.42  264.33 2
 -72.58  266.00 2
 -72.75  267.75 2
 -72.92  269.50 2
 -72.92  271.25 2
 -72.92  273.00 2
 -73.08  274.50 2
 -72.92  275.67 2
 -72.83  277.00 2
 -72.92  278.75 2
 -73.00  280.50 2
 -73.25  281.50 2
 -72.83  281.33 2
 -72.42  282.00 2
 -72.58  283.50 2
 -72.83  285.00 2
